ZÃ¼rich HB,ZÃ¼rich Wiedikon,ZÃ¼rich Enge,ZÃ¼rich Wollishofen,Kilchberg,RÃ¼schlikon,Thalwil,Oberrieden,Horgen,Au ZH,WÃ¤denswil,Richterswil,BÃ¤ch,Freienbach SBB,PfÃ¤ffikon SZ,Altendorf,Lachen,Siebnen-Wangen,SchÃ¼belbach-Buttikon,Reichenburg,Bilten,ZiegelbrÃ¼cke,MÃ¼hlehorn,Murg,Untererzen,Mols,Walenstadt,Flums,Mels,Sargans,Bad Ragaz,Maienfeld,Landquart,Chur
56.40,53.70,52.80,50.90,48.10,46.10,44.90,42.80,40.30,36.30,33.10,29.60,27.70,25.40,23.60,20.00,17.60,13.70,10.60,7.20,2.90,0.00,9.00,12.30,15.40,17.10,17.10,20.80,28.00,30.30,36.30,38.30,43.00,55.90
65.40,62.70,61.80,59.90,57.10,55.10,53.90,51.80,49.30,45.30,42.10,38.60,36.70,34.40,32.60,29.00,26.60,22.70,19.60,16.20,11.90,9.00,0.00,3.30,6.40,8.10,8.10,11.80,19.00,21.30,27.30,29.30,34.00,46.90
68.70,66.00,65.10,63.20,60.40,58.40,57.20,55.10,52.60,48.60,45.40,41.90,40.00,37.70,35.90,32.30,29.90,26.00,22.90,19.50,15.20,12.30,3.30,0.00,3.10,4.80,4.80,8.50,15.70,18.00,24.00,26.00,30.70,43.60
71.80,69.10,68.20,66.30,63.50,61.50,60.30,58.20,55.70,51.70,48.50,45.00,43.10,40.80,39.00,35.40,33.00,29.10,26.00,22.60,18.30,15.40,6.40,3.10,0.00,1.70,1.70,5.40,12.60,14.90,20.90,22.90,27.60,40.50
73.50,70.80,69.90,68.00,65.20,63.20,62.00,59.90,57.40,53.40,50.20,46.70,44.80,42.50,40.70,37.10,34.70,30.80,27.70,24.30,20.00,17.10,8.10,4.80,1.70,0.00,2.90,6.60,13.80,16.10,22.10,24.10,28.80,41.70
76.40,70.80,69.90,68.00,65.20,63.20,62.00,59.90,57.40,53.40,50.20,46.70,44.80,42.50,40.70,37.10,34.70,30.80,27.70,24.30,20.00,17.10,8.10,4.80,1.70,2.90,0.00,3.70,10.90,13.20,19.20,21.20,25.90,38.80
80.10,74.50,73.60,71.70,68.90,66.90,65.70,63.60,61.10,57.10,53.90,50.40,48.50,46.20,44.40,40.80,38.40,34.50,31.40,28.00,23.70,20.80,11.80,8.50,5.40,6.60,3.70,0.00,7.20,9.50,15.50,17.50,22.20,35.10
87.30,81.70,80.80,78.90,76.10,74.10,72.90,70.80,68.30,64.30,61.10,57.60,55.70,53.40,51.60,48.00,45.60,41.70,38.60,35.20,30.90,28.00,19.00,15.70,12.60,13.80,10.90,7.20,0.00,2.30,8.30,10.30,15.00,27.90
89.60,84.00,83.10,81.20,78.40,76.40,75.20,73.10,70.60,66.60,63.40,59.90,58.00,55.70,53.90,50.30,47.90,44.00,40.90,37.50,33.20,30.30,21.30,18.00,14.90,16.10,13.20,9.50,2.30,0.00,6.00,8.00,12.70,25.60
95.60,90.00,89.10,87.20,84.40,82.40,81.20,79.10,76.60,72.60,69.40,65.90,64.00,61.70,59.90,56.30,53.90,50.00,46.90,43.50,39.20,36.30,27.30,24.00,20.90,22.10,19.20,15.50,8.30,6.00,0.00,2.00,6.70,19.60
97.60,92.00,91.10,89.20,86.40,84.40,83.20,81.10,78.60,74.60,71.40,67.90,66.00,63.70,61.90,58.30,55.90,52.00,48.90,45.50,41.20,38.30,29.30,26.00,22.90,24.10,21.20,17.50,10.30,8.00,2.00,0.00,4.70,17.60
102.30,96.70,95.80,93.90,91.10,89.10,87.90,85.80,83.30,79.30,76.10,72.60,70.70,68.40,66.60,63.00,60.60,56.70,53.60,50.20,45.90,43.00,34.00,30.70,27.60,28.80,25.90,22.20,15.00,12.70,6.70,4.70,0.00,12.90
115.20,109.60,108.70,106.80,104.00,102.00,100.80,98.70,96.20,92.20,89.00,85.50,83.60,81.30,79.50,75.90,73.50,69.60,66.50,63.10,58.80,55.90,46.90,43.60,40.50,41.70,38.80,35.10,27.90,25.60,19.60,17.60,12.90,0.00
